Timestamp,Date,Symbol,Mode,Side,EntryPrice,ClosePrice,Qty,PnL_USDT,Strategy,Regime,Reason
1773383172426,2026-03-13 06:26:12,VVV_USDT,PAPER,SELL,6.2500,6.2442,1600.0000,9.35,BreakoutStrategy,range,SL
1773383582208,2026-03-13 06:33:02,PIXEL_USDT,PAPER,SELL,0.0131,0.0130,532945.0019,40.00,LiquiditySweepStrategy,high_volatility,SL
1773385260835,2026-03-13 07:01:00,PIXEL_USDT,PAPER,SELL,0.0132,0.0134,757575.7576,-138.36,LiquiditySweepStrategy,high_volatility,SL
1773385262434,2026-03-13 07:01:02,VVV_USDT,PAPER,SELL,6.2810,6.3066,1592.1032,-40.73,TrendPullbackStrategy,weak_trend,SL
1773385860243,2026-03-13 07:11:00,PIXEL_USDT,PAPER,SELL,0.0151,0.0155,439391.0312,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773386460533,2026-03-13 07:21:00,PIXEL_USDT,PAPER,SELL,0.0159,0.0164,405424.9565,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773386882272,2026-03-13 07:28:02,VVV_USDT,PAPER,BUY,6.2900,6.3477,1589.8251,91.65,TrendPullbackStrategy,weak_trend,TP
1773388330048,2026-03-13 07:52:10,PEPE_USDT,PAPER,BUY,0.0000,0.0000,2899391127.8631,5.23,TrendPullbackStrategy,weak_trend,SL
1773388502524,2026-03-13 07:55:02,PEPE_USDT,PAPER,BUY,0.0000,0.0000,2896871378.9108,-25.54,TrendPullbackStrategy,weak_trend,SL
1773388980817,2026-03-13 08:03:00,PIXEL_USDT,PAPER,SELL,0.0160,0.0159,524268.8794,40.00,LiquiditySweepStrategy,high_volatility,SL
1773390363773,2026-03-13 08:26:03,VVV_USDT,PAPER,SELL,6.4400,6.5238,1552.7950,-130.18,LiquiditySweepStrategy,high_volatility,SL
1773390962240,2026-03-13 08:36:02,VVV_USDT,PAPER,SELL,6.4980,6.5668,1538.9351,-105.82,LiquiditySweepStrategy,high_volatility,SL
